                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6134,                 9.7096,                 1.5084,                0.00083,                   0.25,                 0.0007,                0.00046,                 2.7833,                 20.154,                 2.4045,                      0,                      0,                      0
                      2,                 1.2418,                 8.2757,                 1.2157,                0.00083,                   0.25,                0.00076,                 0.0005,                 2.6573,                 19.143,                 2.3015,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 1.3199,                 8.7074,                 1.3251,                0.00083,                   0.25,                0.00079,                0.00046,                 2.5675,                 19.372,                 2.2656,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 1.1149,                 7.6126,                 1.2331,                0.00083,                   0.25,                0.00083,                0.00047,                 2.5273,                  20.15,                 2.2544,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 1.4558,                 6.9178,                 1.3506,                0.00083,                   0.25,                0.00086,                0.00055,                 2.4885,                 18.462,                 2.1722,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 1.6863,                 9.9155,                 1.5069,                0.00083,                   0.25,                0.00088,                0.00056,                 2.4432,                 17.549,                 2.1229,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.4022,                  8.507,                 1.3193,                0.00083,                   0.25,                 0.0009,                0.00064,                 2.4006,                 17.708,                 2.1173,             0.00010574,             0.00010574,             0.00010574
                      8,                 1.3816,                 8.4128,                 1.4088,                0.21097,                    0.5,                0.15397,                0.10368,                 1.3246,                 9.7752,                  1.219,              0.0001206,              0.0001206,              0.0001206
                      9,                0.91535,                 4.3495,                 1.0157,                      1,                0.73428,                   0.87,                0.51637,                 1.3915,                 7.1338,                 1.0833,             0.00013466,             0.00013466,             0.00013466
                     10,                 0.8181,                 2.0933,                0.94093,                 0.9437,                      1,                  0.995,                0.64641,                 1.2678,                 13.205,                 1.0774,             0.00014792,             0.00014792,             0.00014792
                     11,                0.64833,                 1.5608,                0.91721,                0.20892,                    0.5,                0.32667,                0.22995,                 1.2617,                 15.564,                 1.0726,              0.0001604,              0.0001604,              0.0001604
                     12,                0.53337,                 1.9149,                0.83829,                0.75861,                      1,                  0.995,                0.70024,                 1.1973,                 10.554,                 1.0451,             0.00017208,             0.00017208,             0.00017208
                     13,                0.64674,                 1.3605,                0.83231,                 0.8575,                      1,                  0.995,                0.66723,                 1.2774,                 6.7682,                 1.0647,             0.00018298,             0.00018298,             0.00018298
                     14,                0.72193,                 1.8381,                0.88076,                0.92302,                      1,                  0.995,                0.60928,                 1.4458,                 5.0219,                 1.1211,             0.00019308,             0.00019308,             0.00019308
                     15,                0.64807,                 1.7463,                0.81387,                0.96375,                      1,                  0.995,                0.62761,                 1.3902,                 3.9389,                 1.1177,             0.00020238,             0.00020238,             0.00020238
                     16,                0.72987,                 1.5523,                0.92298,                0.96212,                      1,                  0.995,                0.69202,                 1.0424,                 2.9008,                 1.0778,              0.0002109,              0.0002109,              0.0002109
                     17,                0.67101,                 1.2188,                0.85304,                 0.9328,                      1,                  0.995,                0.75837,                 1.0379,                 2.3181,                 1.0914,             0.00021862,             0.00021862,             0.00021862
                     18,                0.67299,                 1.2945,                0.81845,                 0.9328,                      1,                  0.995,                0.75837,                 1.0379,                 2.3181,                 1.0914,             0.00022556,             0.00022556,             0.00022556
                     19,                 0.8598,                 1.4317,                0.94763,                0.96755,                      1,                  0.995,                 0.6777,                 1.1917,                 1.8518,                 1.1016,              0.0002317,              0.0002317,              0.0002317
                     20,                0.75409,                 1.0529,                0.87876,                0.96755,                      1,                  0.995,                 0.6777,                 1.1917,                 1.8518,                 1.1016,             0.00023704,             0.00023704,             0.00023704
                     21,                0.70082,                 1.1239,                  0.837,                0.97947,                      1,                  0.995,                0.59048,                 1.3989,                 1.7496,                 1.1262,              0.0002416,              0.0002416,              0.0002416
                     22,                0.99084,                 1.3477,                0.91066,                0.97947,                      1,                  0.995,                0.59048,                 1.3989,                 1.7496,                 1.1262,             0.00024536,             0.00024536,             0.00024536
                     23,                0.73895,                 1.2518,                0.93431,                0.97957,                      1,                  0.995,                0.63407,                  1.364,                 1.6802,                 1.1191,             0.00024834,             0.00024834,             0.00024834
                     24,                0.70596,                 1.1959,                0.88137,                0.97957,                      1,                  0.995,                0.63407,                  1.364,                 1.6802,                 1.1191,             0.00025052,             0.00025052,             0.00025052
                     25,                0.74877,                 1.2096,                0.90808,                0.96634,                      1,                  0.995,                0.64658,                 1.1705,                  1.576,                 1.0873,              0.0002519,              0.0002519,              0.0002519
                     26,                  0.664,                0.86653,                 0.8221,                0.96634,                      1,                  0.995,                0.64658,                 1.1705,                  1.576,                 1.0873,              0.0002525,              0.0002525,              0.0002525
                     27,                0.79684,                 1.0717,                0.84725,                0.95567,                      1,                  0.995,                0.68386,                 1.0332,                 1.5524,                 1.0736,              0.0002523,              0.0002523,              0.0002523
                     28,                0.73047,                0.82631,                0.88585,                0.95567,                      1,                  0.995,                0.68386,                 1.0332,                 1.5524,                 1.0736,             0.00025132,             0.00025132,             0.00025132
                     29,                0.75054,                0.89411,                0.91625,                0.77727,                      1,                  0.945,                0.65472,                0.95245,                 1.5234,                 1.0407,             0.00024954,             0.00024954,             0.00024954
                     30,                0.80972,                 1.0687,                 1.0026,                0.77727,                      1,                  0.945,                0.65472,                0.95245,                 1.5234,                 1.0407,             0.00024696,             0.00024696,             0.00024696
                     31,                0.70936,                0.93493,                 0.8169,                0.98475,                      1,                  0.995,                0.74609,                0.91819,                 1.3611,                 1.0238,              0.0002436,              0.0002436,              0.0002436
                     32,                0.67104,                0.84721,                0.82116,                0.98475,                      1,                  0.995,                0.74609,                0.91819,                 1.3611,                 1.0238,             0.00023944,             0.00023944,             0.00023944
                     33,                0.59973,                0.86871,                0.84925,                0.98038,                      1,                  0.995,                0.72949,                0.98223,                 1.4586,                 1.0455,              0.0002345,              0.0002345,              0.0002345
                     34,                0.65111,                 1.1643,                 0.9017,                0.98038,                      1,                  0.995,                0.72949,                0.98223,                 1.4586,                 1.0455,             0.00022876,             0.00022876,             0.00022876
